name,SENTIMENT_EXTREME,WORD_COUNT_MIN,WORD_COUNT_MAX,ADJ_NOUN_RATIO,FIRST_PERSON_RATIO,SPAM_KEYWORD_MIN,CAPS_RATIO_MAX,EXCESSIVE_PUNCT_MIN,UNIQUENESS_RATIO_MIN,accuracy,precision,recall,f1_score,true_positives,false_positives,true_negatives,false_negatives,total_samples
Stage2_51,0.95,20,200,2.0,0.1,3,0.25,3,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_36,0.95,20,200,2.0,0.1,3,0.15,4,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_39,0.95,20,200,2.0,0.1,3,0.2,2,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage2_48,0.95,20,200,2.0,0.1,3,0.25,2,0.65,0.58,0.6333333333333333,0.38,0.4750000000000001,19,11,39,31,100
Stage1_129,0.95,20,200,2.0,0.2,3,0.2,3,0.6,0.57,0.64,0.32,0.4266666666666667,16,9,41,34,100
Stage1_112,0.95,10,200,2.5,0.1,3,0.2,3,0.6,0.57,0.64,0.32,0.4266666666666667,16,9,41,34,100
Stage1_120,0.95,15,200,2.0,0.2,3,0.2,3,0.6,0.57,0.64,0.32,0.4266666666666667,16,9,41,34,100
Stage1_121,0.95,15,200,2.5,0.1,3,0.2,3,0.6,0.57,0.64,0.32,0.4266666666666667,16,9,41,34,100
Stage1_128,0.95,20,200,2.0,0.15,3,0.2,3,0.6,0.57,0.64,0.32,0.4266666666666667,16,9,41,34,100
Stage1_115,0.95,10,200,3.0,0.1,3,0.2,3,0.6,0.57,0.64,0.32,0.4266666666666667,16,9,41,34,100
Stage1_111,0.95,10,200,2.0,0.2,3,0.2,3,0.6,0.57,0.64,0.32,0.4266666666666667,16,9,41,34,100
Stage1_124,0.95,15,200,3.0,0.1,3,0.2,3,0.6,0.57,0.64,0.32,0.4266666666666667,16,9,41,34,100
Stage1_110,0.95,10,200,2.0,0.15,3,0.2,3,0.6,0.57,0.64,0.32,0.4266666666666667,16,9,41,34,100
Stage1_119,0.95,15,200,2.0,0.15,3,0.2,3,0.6,0.57,0.64,0.32,0.4266666666666667,16,9,41,34,100
Stage1_134,0.95,20,200,3.0,0.15,3,0.2,3,0.6,0.56,0.625,0.3,0.4054054054054054,15,9,41,35,100
Stage1_100,0.9,20,200,2.0,0.1,3,0.2,3,0.6,0.56,0.5714285714285714,0.48,0.5217391304347826,24,18,32,26,100
